external_row,section,term,definition,external_verdict,original_axiom,corrected_axiom,external_notes,match_kind,coms_subject,coms_sheet,coms_row,coms_row_id,coms_status,coms_predicate,coms_target,coms_reasoning,preliminary_disposition,validated_disposition,validated_basis
34,Common OPs,sosa:featureHasUltimateSample,"relation from an ultimate FeatureOfInterest to a Sample or SampleCollection that is intended to be representative of it; i.e., the end of a chain of hasSample relations",Not DL-expressible,subPropertyOf cco:is_output_of,"sosa:featureHasUltimateSample a owl:ObjectProperty ; rdfs:domain sosa:FeatureOfInterest ; rdfs:range [ a owl:Class ; owl:unionOf ( sosa:Sample sosa:SampleCollection ) ] ; rdfs:comment ""The workbook super cco:is_output_of (is-output-of, continuant to process) clashes: an ultimate Sample is not an output of the FeatureOfInterest but of a Sampling process. The output relation is dropped; the sample-is-output-of-a-sampling reading lives on sosa:Sample (is_output_of some Sampling) and in SHACL.""@en .",sosa:featureHasUltimateSample is marked difficult because the terminal sample is not literally an output of the feature of interest — it is an output of a sosa:Sampling process. cco:is_output_of is the best available upper mapping but requires the chain to be traced through the sampling processes rather than asserted directly.,exact,sosa:featureHasUltimateSample,Sheet2,18,urn:uuid:d53ed4f5-2351-416f-b104-b0bb251bf394,active,rdfs:subPropertyOf,cco:is_output_of,,do not adopt directly in OWL; assess annotation/SHACL/rule,,
35,Common OPs,sosa:forProperty,relation from some Procedure or System to a Property it acts on or observes,Semantic redesign,"sosa:forProperty rdfs:range sosa:Property .
sosa:forProperty rdfs:domain [ a owl:Class ; owl:unionOf ( bfo:SpecificallyDependentContinuant bfo:Function bfo:ProcessProfile cco:InformationContentEntity ) ] .
[ a owl:ObjectProperty ; owl:propertyChainAxiom ( cco:described_by cco:is_about ) ] rdfs:subPropertyOf sosa:forProperty .","sosa:forProperty a owl:ObjectProperty ; rdfs:range sosa:Property ; rdfs:comment ""No rdfs:domain is asserted: native sosa:actsOn and sosa:observes are sub-properties of sosa:forProperty with material-entity subjects (Actuator, Sensor), so any continuant/ICE domain union would drive those sub-properties to unsatisfiability. The published BFO-Mappings release asserts the aboutness chain described-by o is-about as a named property chain here; that was tried and REVERTED, because in the merge with current CCO (2.2) described-by is a sub-property of the inverse of is-about, so 'proc described-by ice' fires the chain reflexively to give 'proc forProperty proc', and the native SOSA axiom 'Procedure forProperty only Property' then forces the procedure (an information content entity) to be a Property, which is inconsistent for any documented procedure. The aboutness reading is carried in the RO/annotation layer instead.""@en .","sosa:forProperty captures a specification or definition relationship between a procedure, system, or execution and a property. The property chain via cco:described_by and cco:is_about allows information content entities to inherit this relationship through their aboutness.",exact,sosa:forProperty,Sheet2,19,urn:uuid:58a661aa-3d05-4fe8-9146-4ed38f9bc29c,active,owl:propertyChainAxiom,cco:described_by o cco:is_about,,substantive reconciliation required,deactivate,"The chain cco:described_by o cco:is_about captures an entity being described by information that is about a property. It does not establish that the entity acts on or observes that property, which is the intended meaning of sosa:forProperty. This semantic mismatch applies regardless of the CCO version."
36,Common OPs,sosa:hasDeployment,relation from an Asset (System or Platform) to a Deployment,OK as-is,"sosa:hasDeployment owl:inverseOf sosa:deployedAsset .
sosa:hasDeployment rdfs:subPropertyOf bfo:participates_in .","sosa:hasDeployment owl:inverseOf sosa:deployedAsset .
sosa:hasDeployment rdfs:subPropertyOf obo:BFO_0000056 .",sosa:hasDeployment is the inverse of sosa:deployedAsset. It maps to bfo:participates_in because the system or platform participates in the deployment process.,exact,sosa:hasDeployment,Sheet2,20,urn:uuid:ab8c2d57-82be-4344-9af8-74521d8d5568,active,rdfs:subPropertyOf,cco:is_output_of,,verify existing active mapping against external correction,adapt,"Replace the current cco:is_output_of superproperty with bfo:participates_in. The source relation is inverse to sosa:deployedAsset, whose governed mapping is under bfo:has_participant; participates_in is the corresponding inverse direction."
37,Common OPs,sosa:hasFeatureOfInterest,relation from an Execution or Deployment to its subject entity,Semantic redesign,"sosa:hasFeatureOfInterest rdfs:domain [ a owl:Class ; owl:unionOf ( sosa:Execution sosa:Deployment ) ] .
sosa:hasFeatureOfInterest rdfs:range sosa:FeatureOfInterest .","sosa:hasFeatureOfInterest a owl:ObjectProperty ; rdfs:domain [ a owl:Class ; owl:unionOf ( sosa:Execution sosa:ExecutionCollection sosa:Deployment ) ] ; rdfs:range sosa:FeatureOfInterest ; rdfs:comment ""Domain widened to include ExecutionCollection (native schema:domainIncludes and the workbook's own OperatingConditions design require the collection case).""@en .","sosa:hasFeatureOfInterest is left as a standalone relation rather than a subproperty of cco:has_input. cco:has_input restricts its range to continuants (specifically dependent continuants, generically dependent continuants, and independent continuants that are not spatial regions) and excludes occurrents and spatial regions. That conflicts with SOSA, which lets a feature of interest be any bfo:Entity. Dropping the subPropertyOf cco:has_input axiom keeps the FOI range fully general.",exact,sosa:hasFeatureOfInterest,Sheet2,21,urn:uuid:b1cd2525-4abc-46cd-bd1f-9f821161853a,explicitly_unmapped,,,,substantive reconciliation required,,
38,Common OPs,sosa:hasInput,relation from a Procedure to an input required for its execution,Semantic redesign,"sosa:hasInput rdfs:domain sosa:Procedure .
sosa:hasInput rdfs:subPropertyOf cco:has_input .","sosa:hasInput a owl:ObjectProperty ; rdfs:domain sosa:Procedure ; rdfs:range cco:ont00000958 ; rdfs:comment ""Super cco:has_input (has-input, domain process) dropped: sosa:Procedure maps to a Prescriptive ICE (continuant), so the process domain made every use unsatisfiable. The richer 'prescribes o has_input' chain is NOT adopted: sosa:hasInput is owl:equivalentProperty the deprecated ssn:hasInput, which sits under an inverse-minCardinality restriction on ssn:Input; a chain would make the property non-simple and break the OWL 2 DL simple-property discipline (Structural Spec 11.2). The procedure-to-execution input reading is recorded in annotation/RO.""@en .",sosa:hasInput maps to cco:has_input because both relations connect a prescriptive entity (procedure) to the information it requires for execution.,exact,sosa:hasInput,Sheet2,22,urn:uuid:5c8026fc-c9ae-4fad-acdd-f722c23e960c,active,rdfs:subPropertyOf,cco:has_input,,substantive reconciliation required,,
39,Common OPs,sosa:hasInputValue,assigns a value to an input defined by the Procedure that is used in an Execution,Semantic redesign,"sosa:hasInputValue rdfs:domain sosa:Execution .
sosa:hasInputValue rdfs:subPropertyOf cco:has_input .","sosa:hasInputValue a owl:ObjectProperty ; rdfs:domain sosa:Execution ; rdfs:range cco:ont00000958 ; rdfs:comment ""Domain corrected to sosa:Execution (an input value is supplied to an execution, not to the procedure). No process-domain CCO super asserted.""@en .",sosa:hasInputValue maps to cco:has_input because it connects an execution to an information content entity that serves as an input value. It is distinct from sosa:hasInput in that it applies to executions (not procedures) and assigns a concrete value rather than specifying a required input type.,exact,sosa:hasInputValue,Sheet2,23,urn:uuid:a3919577-239e-493a-a137-1c7ec09b72ce,active,rdfs:subPropertyOf,cco:has_input,,substantive reconciliation required,,
40,Common OPs,sosa:hasMember,link from a Collection to an Execution or Sample or Collection of these that is part of it,Syntactic repair,rdf:type owl:ObjectProperty .,"sosa:hasMember a owl:ObjectProperty ; rdfs:comment ""Bare object property with no BFO parthood super, per the workbook's stated design (collection membership is not BFO parthood; the disjoint continuant/occurrent parthood relations cannot both be supers). Member-type homogeneity is validated in the SHACL layer.""@en .","sosa:hasMember is declared as a bare object property with no BFO parthood sub-property assertion. The parthood semantics of collection membership are carried at the class level on each Collection class rather than on this property, because BFO 2020's continuant and occurrent parthood relations have disjoint domains and a single uniform member-relation cannot be a sub-property of both without rendering its arguments unsatisfiable. OWL 2 DL provides no disjunctive or domain-conditional sub-property construct that would let one property route to has_occurrent_part when the collection is process-flavored and to has_continuant_part (or has_member_part) when the collection is a SampleCollection. By declining to commit hasMember to any parthood reading, the property remains usable uniformly across all five SOSA collection types without forcing contradictory BFO classification on its arguments. This also honors the spec's own framing: SOSA 2023 §5.3.6 uses set-membership language for collections, and the OMS and OBOE alignment modules gloss hasMember as collection membership rather than parthood, so the non-parthood reading matches upstream intent. SHACL shapes on each Collection class (see SHACL column) validate that members are of the correct type per collection, which restores the integrity checking that the dropped sub-property axioms would have provided, without the unsatisfiability. A downstream profile that wants a generic part-whole reading of hasMember can override this row by asserting a custom parthood sub-property axiom scoped to its own collection classes.",exact,sosa:hasMember,Sheet2,24,urn:uuid:cfed9d6b-3051-4a3b-824d-14cd3feda5b2,explicitly_unmapped,,,,compare and adapt only after IRI/version verification,,
41,Common OPs,sosa:hasOriginalSample,relation from a Sample or SampleCollection to the initial Sample collected from the ultimate FeatureOfInterest,Not DL-expressible,subPropertyOf cco:is_output_of,"sosa:hasOriginalSample a owl:ObjectProperty ; rdfs:domain sosa:Sample ; rdfs:range sosa:Sample ; rdfs:comment ""Super cco:is_output_of dropped (a Sample is not an output of another Sample); the output-of-a-Sampling reading is carried on sosa:Sample and SHACL.""@en .",sosa:hasOriginalSample is marked difficult because the original sample is not an output of the sample or sample collection — it is an output of the original sosa:Sampling process. cco:is_output_of is the best available upper mapping but requires the provenance chain to be traced through the sampling process rather than asserted directly.,exact,sosa:hasOriginalSample,Sheet2,25,urn:uuid:772bd41b-1347-4b8d-a922-5cb5bb1ed716,active,rdfs:subPropertyOf,cco:is_output_of,,do not adopt directly in OWL; assess annotation/SHACL/rule,,
42,Common OPs,sosa:hasOutput,relation from a Procedure to an output of its execution,Semantic redesign,"sosa:hasOutput rdfs:domain sosa:Procedure .
sosa:hasOutput rdfs:subPropertyOf cco:has_output .","sosa:hasOutput a owl:ObjectProperty ; rdfs:domain sosa:Procedure ; rdfs:range cco:ont00000958 ; rdfs:comment ""Super cco:has_output dropped (process domain vs continuant Procedure). Kept simple: owl:equivalentProperty ssn:hasOutput carries an inverse-minCardinality restriction on ssn:Output, so a chain redesign would violate the simple-property discipline (Structural Spec 11.2).""@en .",sosa:hasOutput maps to cco:has_output because both relations connect a prescriptive entity (procedure) to information produced by executing what it prescribes.,exact,sosa:hasOutput,Sheet2,26,urn:uuid:4f0b0675-329c-4588-9a51-c99793670972,active,rdfs:subPropertyOf,cco:is_output_of,,substantive reconciliation required,,
43,Common OPs,sosa:hasProcedure,relation from a Property to a Procedure that can observe or act on it,OK as-is,sosa:hasProcedure owl:inverseOf sosa:isProcedureFor .,sosa:hasProcedure owl:inverseOf sosa:isProcedureFor .,sosa:hasProcedure is defined as the inverse of sosa:isProcedureFor. No further subproperty axiom is given because the relationship between a property and the procedure that targets it is not straightforwardly captured by standard BFO or CCO relations.,exact,sosa:hasProcedure,Sheet2,27,urn:uuid:b19cbe47-53f4-4fc6-8175-136a215a98b5,explicitly_unmapped,,,,candidate for mapping analysis,,
44,Common OPs,sosa:hasProperty,relation from an entity to a Property of that entity,Not DL-expressible,"sosa:hasProperty rdfs:subPropertyOf bfo:bearer_of .
sosa:hasProperty rdfs:subPropertyOf bfo:has_occurrent_part .",sosa:hasProperty a owl:ObjectProperty ; rdfs:range sosa:Property .,"sosa:hasProperty must cover both bfo:SpecificallyDependentContinuant (which inhere in continuants via bfo:bearer_of) and bfo:ProcessProfile (which are occurrent parts of processes via bfo:has_occurrent_part), consistent with the Common Classes sheet treatment of sosa:Property as the union of these two BFO types.",exact,sosa:hasProperty,Sheet2,28,urn:uuid:d3fe049a-dd1e-48fa-b0eb-63fe9fb61ddc,explicitly_unmapped,,,,preserve outside active OWL mapping pending rule/SHACL design,,
45,Common OPs,sosa:hasProxy,relation from an Property to a Stimulus that serves as its proxy,OK as-is,sosa:hasProxy owl:inverseOf sosa:isProxyFor .,sosa:hasProxy owl:inverseOf sosa:isProxyFor .,sosa:hasProxy is defined as the inverse of sosa:isProxyFor. No further subproperty axiom is given because the proxy relationship — a stimulus serving as a direct indicator of a property — is not straightforwardly captured by standard BFO or CCO relations.,exact,sosa:hasProxy,Sheet2,29,urn:uuid:95c48ef0-8b94-4cd8-b9b2-65110fad4aa3,explicitly_unmapped,,,,candidate for mapping analysis,,
46,Common OPs,sosa:hasResult,relation from an Execution to its result,Semantic redesign,"sosa:hasResult rdfs:domain sosa:Execution .
sosa:hasResult rdfs:subPropertyOf cco:has_output .","sosa:hasResult a owl:ObjectProperty ; rdfs:domain [ a owl:Class ; owl:unionOf ( sosa:Execution sosa:ExecutionCollection ) ] ; rdfs:subPropertyOf cco:ont00001986 ; rdfs:comment ""Domain widened to include ExecutionCollection (native schema:domainIncludes). Maps to CCO has_output (process to continuant); Execution and ExecutionCollection are processes, results are continuants. Native FunctionalObjectProperty(sosa:hasResult) is retained and stays simple (it occurs only in the bodies of the madeSamplingHasResult / usedForExecutionHasResult chains, which does not make it non-simple).""@en .","sosa:hasResult maps to cco:has_output because results are explicitly defined as outputs of observations, actuations, or samplings.",exact,sosa:hasResult,Sheet2,30,urn:uuid:cc35e702-bfa0-42f7-b1a7-b3bd4cca6a76,active,rdfs:subPropertyOf,cco:is_output_of,,substantive reconciliation required,,
47,Common OPs,sosa:hasSample,relation from a FeatureOfInterest to the Sample or SampleCollection used to represent it,OK as-is,"sosa:hasSample rdfs:domain sosa:FeatureOfInterest .
sosa:hasSample rdfs:range [ a owl:Class ; owl:unionOf ( sosa:Sample sosa:SampleCollection ) ] .","sosa:hasSample rdfs:domain sosa:FeatureOfInterest .
sosa:hasSample rdfs:range [ a owl:Class ; owl:unionOf ( sosa:Sample sosa:SampleCollection ) ] .","The sample-of relationship is representational — the sample stands in for the feature of interest — and is not a participation relation. With sosa:FeatureOfInterest generalized to bfo:Entity, the earlier bfo:has_participant mapping (which presupposes a process-and-participant structure) no longer fits, so sosa:hasSample is declared as a standalone relation with its domain and range only.",exact,sosa:hasSample,Sheet2,31,urn:uuid:a2b2a51d-52d9-494a-a5c9-075c6f9204d4,explicitly_unmapped,,,,review as SOSA-next relation; do not transfer the current-SOSA simplicity rationale,,
48,Common OPs,sosa:hasSubSystem,relation from a System to its component parts,OK as-is,"sosa:hasSubSystem rdfs:domain sosa:System .
sosa:hasSubSystem rdfs:range sosa:System .
sosa:hasSubSystem rdfs:subPropertyOf bfo:has_continuant_part .","sosa:hasSubSystem rdfs:domain sosa:System .
sosa:hasSubSystem rdfs:range sosa:System .
sosa:hasSubSystem rdfs:subPropertyOf obo:BFO_0000178 .",sosa:hasSubSystem maps to bfo:has_continuant_part because subsystems are structural components of larger systems — they are material continuants that are parts of the larger material continuant that constitutes the system.,exact,sosa:hasSubSystem,Sheet2,32,urn:uuid:2dc7fa6c-e0e9-4ca6-8286-ba18786ed74b,active,rdfs:subPropertyOf,bfo:has_continuant_part,,verify existing active mapping against external correction,already_represented,"The governed COMS axiom has the same BFO/CCO direction and logical strength as the external corrected axiom. Source-native declarations, domains, ranges, inverses, restrictions, labels, and comments do not require an additional COMS axiom."
49,Common OPs,sosa:hasUltimateFeatureOfInterest,relation from a Deployment or Execution to its ultimate subject entity,Decision needed (default in place),sosa:hasUltimateFeatureOfInterest rdfs:subPropertyOf sosa:hasFeatureOfInterest .,"sosa:hasUltimateFeatureOfInterest a owl:ObjectProperty ; rdfs:range sosa:FeatureOfInterest ; rdfs:comment ""The workbook's added 'subPropertyOf sosa:hasFeatureOfInterest' is dropped: it collides with the native skos:note earmarking the chain hasFeatureOfInterest o isSampleOf = hasUltimateFeatureOfInterest (asserting both violates property-hierarchy regularity, Structural Spec 11.2) and it collapses the proximate/ultimate distinction. No hard rdfs:domain is asserted (the native subject envelope spans Executions, Deployments and four Collections). See Decisions needed.""@en .","sosa:hasUltimateFeatureOfInterest is a subproperty of sosa:hasFeatureOfInterest because the ultimate feature of interest is a specific kind of feature of interest — the distal entity that the execution ultimately targets, as opposed to the proximate sample that is its immediate subject.",exact,sosa:hasUltimateFeatureOfInterest,Sheet2,33,urn:uuid:367c2d2e-a731-4300-a297-71daf3430fad,explicitly_unmapped,,,,human decision required,,
50,Common OPs,sosa:hosts,relation from a Platform to an Asset (System or Platform) hosted or mounted on it,Not DL-expressible,"sosa:hosts owl:inverseOf sosa:isHostedBy .
sosa:hosts rdfs:domain sosa:Platform .
sosa:hosts rdfs:range [ a owl:Class ; owl:unionOf ( sosa:System sosa:Platform ) ] .
sosa:hosts rdfs:subPropertyOf [ a owl:ObjectProperty ;
  owl:propertyChainAxiom ( bfo:bearer_of bfo:has_realization bfo:has_participant )
] .
sosa:isHostedBy rdfs:subPropertyOf [ a owl:ObjectProperty ;
  owl:propertyChainAxiom ( [ owl:inverseOf bfo:has_participant ] bfo:realizes [ owl:inverseOf bfo:bearer_of ] )
] .","sosa:hosts a owl:ObjectProperty ; rdfs:domain sosa:Platform ; rdfs:range [ a owl:Class ; owl:unionOf ( sosa:System sosa:Platform ) ] ; owl:inverseOf sosa:isHostedBy ; rdfs:comment ""The workbook's role-mediated super-chains (bearer-of o has-realization o has-participant) are not OWL 2 DL. The published BFO-Mappings release re-expresses them as a named property chain (chain SubPropertyOf hosts); that was tried and REVERTED, because the chain interacts with the native SOSA axiom 'Platform hosts only Asset' (and its inverse 'System isHostedBy only Platform') to force non-asset participants of the realizing process into Asset/Platform, which is inconsistent for a general participant. The safe form keeps the direct domain and range; the role-realization reading is carried in annotation/SHACL. Native SOSA also defines hosts o = inDeployment o deployedSystem, which is retained in the merge.""@en .","sosa:hosts is best treated as role-mediated support realized in processes involving the hosted system, since physical attachment patterns vary and are not uniformly parthood. The property chain captures that the platform bears a role realized in executions in which the hosted entity participates.",exact,sosa:hosts,Sheet2,34,urn:uuid:d4d8448e-01ee-40e0-932e-a73ecd9c059b,active,owl:propertyChainAxiom,bfo:bearer_of o bfo:has_realization o bfo:has_participant,,do not adopt directly in OWL; assess annotation/SHACL/rule,defer_decision,"The chain is valid OWL and compositionally well typed, but it infers that a platform hosts every participant in a realization of something the platform bears. Whether that breadth is acceptable requires a modeling decision."
51,Common OPs,sosa:implementedBy,relation from a Procedure to a System that is capable of executing it,Semantic redesign,"sosa:implementedBy rdfs:subPropertyOf [ a owl:ObjectProperty ;
  owl:propertyChainAxiom ( [ owl:inverseOf cco:prescribed_by ] [ owl:inverseOf cco:has_agent ] )
] .","sosa:implementedBy a owl:ObjectProperty ; owl:inverseOf sosa:implements ; rdfs:domain sosa:Procedure ; rdfs:range sosa:System ; rdfs:comment ""Workbook super-chain (inverse(prescribed_by) o inverse(has_agent)) dropped as not OWL 2 DL; declared as the inverse of sosa:implements. See sosa:implements.""@en .",sosa:implementedBy is defined via property chain: a procedure is implemented by a system if there exists an execution prescribed by that procedure in which the system is an agent.,exact,sosa:implementedBy,Sheet2,35,urn:uuid:81a0efa2-c685-416e-95e5-470e4bb88f80,active,owl:propertyChainAxiom,cco:prescribes o cco:agent_in,,substantive reconciliation required,adapt,Replace the misdirected chain with cco:prescribes o cco:has_agent. The pinned CCO confirms that prescribes is inverse to prescribed_by and has_agent is inverse to agent_in.
52,Common OPs,sosa:implements,relation from a System to the Procedure that it is capable of executing,Semantic redesign,"sosa:implements owl:inverseOf sosa:implementedBy .
sosa:implements rdfs:subPropertyOf [ a owl:ObjectProperty ;
  owl:propertyChainAxiom ( cco:agent_in [ owl:inverseOf cco:prescribed_by ] )
] .","sosa:implements a owl:ObjectProperty ; rdfs:domain sosa:System ; rdfs:range sosa:Procedure ; rdfs:comment ""The workbook expressed 'a system implements a procedure iff it is the agent of an execution prescribed by that procedure' as P subPropertyOf [chain], i.e. P sub-property of a composition, which is not OWL 2 DL. The composition holds only in the derivation direction (chain sub P), not as a definition of P; the execution-agency reading is recorded in annotation. sosa:System equivalentClass (material entity and implements some Procedure) relies on this plain declaration.""@en .",sosa:implements is the inverse of sosa:implementedBy. The property chain captures that a system implements a procedure if it is an agent in an execution prescribed by that procedure.,exact,sosa:implements,Sheet2,36,urn:uuid:f2800ed5-c34b-46a3-9128-141537c5e9b1,active,owl:propertyChainAxiom,cco:agent_in o cco:prescribes,,substantive reconciliation required,adapt,Replace the category-incompatible chain with cco:agent_in o cco:prescribed_by. This follows the path from a system through an execution in which it is an agent to the procedure prescribing that execution.
53,Common OPs,sosa:inDeployment,relation from a Platform to a Deployment,OK as-is,sosa:inDeployment owl:inverseOf sosa:deployedOnPlatform .,sosa:inDeployment owl:inverseOf sosa:deployedOnPlatform .,sosa:inDeployment is the inverse of sosa:deployedOnPlatform.,exact,sosa:inDeployment,Sheet2,37,urn:uuid:065d887b-15b0-4489-9877-c0e2a2d46909,explicitly_unmapped,,,,candidate for mapping analysis,,
54,Common OPs,sosa:inputFor,relation from an input to a Procedure that uses it in an Execution,OK as-is,sosa:inputFor owl:inverseOf sosa:hasInput .,sosa:inputFor owl:inverseOf sosa:hasInput .,sosa:inputFor is the inverse of sosa:hasInput.,exact,sosa:inputFor,Sheet2,38,urn:uuid:5638dc4d-a0b4-4018-9ac5-c15a3e63ae1d,explicitly_unmapped,,,,candidate for mapping analysis,,
55,Common OPs,sosa:inputValueForExecution,relation from an input value to an Execution that used it,OK as-is,sosa:inputValueForExecution owl:inverseOf sosa:hasInputValue .,sosa:inputValueForExecution owl:inverseOf sosa:hasInputValue .,sosa:inputValueForExecution is the inverse of sosa:hasInputValue.,exact,sosa:inputValueForExecution,Sheet2,39,urn:uuid:2c1df02f-049f-4072-963d-b19a8a3237f0,explicitly_unmapped,,,,candidate for mapping analysis,,
56,Common OPs,sosa:isActedOnBy,relation from a Property to an Actuator that may change its state,OK as-is,sosa:isActedOnBy owl:inverseOf sosa:actsOn .,sosa:isActedOnBy owl:inverseOf sosa:actsOn .,sosa:isActedOnBy is the inverse of sosa:actsOn.,exact,sosa:isActedOnBy,Sheet2,40,urn:uuid:9ecbbdbb-c876-43c8-89b1-271ee720b45f,explicitly_unmapped,,,,candidate for mapping analysis,,
57,Common OPs,sosa:isDetectedBy,relation from a Stimulus to a Sensor that may detect it,OK as-is,sosa:isDetectedBy owl:inverseOf sosa:detects .,sosa:isDetectedBy owl:inverseOf sosa:detects .,sosa:isDetectedBy is the inverse of sosa:detects.,exact,sosa:isDetectedBy,Sheet2,41,urn:uuid:2acbcdf8-1660-4463-89cb-f21f33a5b62c,explicitly_unmapped,,,,candidate for mapping analysis,,
58,Common OPs,sosa:isFeatureOfInterestOf,"relation from a FeatureOfInterest to an Execution, Execution Collection, or Deployment, operating on it",OK as-is,sosa:isFeatureOfInterestOf owl:inverseOf sosa:hasFeatureOfInterest .,sosa:isFeatureOfInterestOf owl:inverseOf sosa:hasFeatureOfInterest .,sosa:isFeatureOfInterestOf is the inverse of sosa:hasFeatureOfInterest.,exact,sosa:isFeatureOfInterestOf,Sheet2,42,urn:uuid:6ee83e53-abe6-40f8-b1e7-537c442514a4,explicitly_unmapped,,,,candidate for mapping analysis,,
59,Common OPs,sosa:isHostedBy,"relation from an Asset (System or Platform), to a Platform that it is mounted on or hosted by",OK as-is,sosa:isHostedBy owl:inverseOf sosa:hosts .,sosa:isHostedBy owl:inverseOf sosa:hosts .,sosa:isHostedBy is the inverse of sosa:hosts.,exact,sosa:isHostedBy,Sheet2,43,urn:uuid:1be6a5bf-3543-4104-848f-e104a968cb8d,explicitly_unmapped,,,,candidate for mapping analysis,,
60,Common OPs,sosa:isMemberOf,"link from an Execution or Sample or Collection of these, to a collection that it is part of",Syntactic repair,"rdf:type owl:ObjectProperty .
owl:inverseOf sosa:hasMember .","sosa:isMemberOf a owl:ObjectProperty ; owl:inverseOf sosa:hasMember ; rdfs:comment ""Inverse of sosa:hasMember (the workbook cell's triples were subject-less; normalised with the subject supplied). No BFO parthood super, per the hasMember design.""@en .","sosa:isMemberOf is declared as a bare object property whose only axiom is the inverse relationship to sosa:hasMember. Like hasMember, it carries no BFO parthood sub-property assertion, for the same reason: BFO 2020's continuant and occurrent parthood relations have disjoint domains, and a single uniform member-relation cannot be a sub-property of both without rendering its arguments unsatisfiable. By declining to commit isMemberOf to any parthood reading, the property remains usable uniformly across all five SOSA collection types (ObservationCollection, ActuationCollection, SamplingCollection, ExecutionCollection, SampleCollection). The inverse axiom to sosa:hasMember preserves bidirectional navigation at the SOSA level, which is the primary use case in queries and data authoring. SHACL shapes that validate member types are attached to sosa:hasMember (see Common OPs: sosa:hasMember); no additional shapes are needed on isMemberOf because the constraints are equivalent via the inverse relationship, and SHACL engines will apply them correctly regardless of which direction the data is authored in. Note the terminological distinction: ""SOSA member"" refers to collection membership via sosa:hasMember / sosa:isMemberOf; ""BFO part"" refers to bfo:has_occurrent_part or bfo:has_member_part asserted at the class level on each Collection. These two concepts are intentionally decoupled in this workbook — see sosa:hasMember on Common OPs for the full rationale.",exact,sosa:isMemberOf,Sheet2,44,urn:uuid:7015fa54-a947-48bc-81cb-e7151a2e96f8,explicitly_unmapped,,,,compare and adapt only after IRI/version verification,,
61,Common OPs,sosa:isObservedBy,relation from a Property to a Sensor that is able to observe it,OK as-is,sosa:isObservedBy owl:inverseOf sosa:observes .,sosa:isObservedBy owl:inverseOf sosa:observes .,sosa:isObservedBy is the inverse of sosa:observes.,exact,sosa:isObservedBy,Sheet2,45,urn:uuid:9e9f40b7-1422-4c8f-97ba-b05621f046da,explicitly_unmapped,,,,candidate for mapping analysis,,
62,Common OPs,sosa:isOriginalSampleOf,relation from the initial Sample collected from the ultimate FeatureOfInterest to a downstream Sample or SampleCollection,OK as-is,sosa:isOriginalSampleOf owl:inverseOf sosa:hasOriginalSample .,sosa:isOriginalSampleOf owl:inverseOf sosa:hasOriginalSample .,sosa:isOriginalSampleOf is the inverse of sosa:hasOriginalSample.,exact,sosa:isOriginalSampleOf,Sheet2,46,urn:uuid:555945fc-2a5e-4ad5-86cd-59c6a6a63f8a,explicitly_unmapped,,,,candidate for mapping analysis,,
63,Common OPs,sosa:isProcedureFor,relation from a Procedure to a Property that it can observe or act on,OK as-is,sosa:isProcedureFor owl:inverseOf sosa:hasProcedure .,sosa:isProcedureFor owl:inverseOf sosa:hasProcedure .,sosa:isProcedureFor is the inverse of sosa:hasProcedure.,exact,sosa:isProcedureFor,Sheet2,47,urn:uuid:86247465-6a48-4a88-9e7e-10209bd3fe26,explicitly_unmapped,,,,candidate for mapping analysis,,
64,Common OPs,sosa:isPropertyOf,relation from a Property to a FeatureOfInterest that it is a quality of,Not DL-expressible,sosa:isPropertyOf owl:inverseOf sosa:hasProperty .,sosa:isPropertyOf a owl:ObjectProperty ; owl:inverseOf sosa:hasProperty ; rdfs:domain sosa:Property .,sosa:isPropertyOf is the inverse of sosa:hasProperty.,exact,sosa:isPropertyOf,Sheet2,48,urn:uuid:fec60e9c-ae05-4bca-9f55-7f0fadee6f11,explicitly_unmapped,,,,do not adopt directly in OWL; assess annotation/SHACL/rule,,
65,Common OPs,sosa:isProxyFor,relation from a Stimulus to the Property for which it is serving as a proxy,OK as-is,sosa:isProxyFor owl:inverseOf sosa:hasProxy .,sosa:isProxyFor owl:inverseOf sosa:hasProxy .,sosa:isProxyFor is the inverse of sosa:hasProxy.,exact,sosa:isProxyFor,Sheet2,49,urn:uuid:6da4ffeb-d979-46a6-af92-c7fb310ede52,explicitly_unmapped,,,,candidate for mapping analysis,,
66,Common OPs,sosa:isResultOf,relation from a result to the Execution that created or caused it,OK as-is,sosa:isResultOf owl:inverseOf sosa:hasResult .,sosa:isResultOf owl:inverseOf sosa:hasResult .,sosa:isResultOf is the inverse of sosa:hasResult.,exact,sosa:isResultOf,Sheet2,50,urn:uuid:029d187d-bd5d-4d79-8283-f79cff4bf95c,explicitly_unmapped,,,,candidate for mapping analysis,,
67,Common OPs,sosa:isResultOfMadeBySampler,relation from a Sample or SampleCollection to the Sampler that made it,OK as-is,sosa:isResultOfMadeBySampler owl:inverseOf sosa:madeSamplingHasResult .,sosa:isResultOfMadeBySampler owl:inverseOf sosa:madeSamplingHasResult .,sosa:isResultOfMadeBySampler is the inverse of sosa:madeSamplingHasResult.,exact,sosa:isResultOfMadeBySampler,Sheet2,51,urn:uuid:fbd6c485-44ea-43b8-b194-3ac490bf48fa,explicitly_unmapped,,,,candidate for mapping analysis,,
